participant,item,type,condition,word_order,sol,reaches_3500ms,last_available_sample_ms_1based,n_extracted_samples
RAI_b1,13,act,A,PV,1415.000000,no,1416,1416
RAI_b1,14,pass,P,PAV,3226.000000,no,3227,3227
RAI_b1,15,act,none,APV,1714.000000,no,1715,1715
RAI_b1,17,pass,P,AV,2141.000000,no,2142,2142
RAI_b1,18,act,none,APV,2089.000000,no,2090,2090
RAI_b1,19,act,A,PV,2486.000000,no,2487,2487
RAI_b1,2,pass,P,AV,2231.000000,no,2232,2232
RAI_b1,20,pass,P,PAV,3226.000000,no,3227,3227
RAI_b1,21,act,none,APV,1983.000000,no,1984,1984
RAI_b1,22,act,A,APV,3062.000000,no,3063,3063
RAI_b1,23,pass,P,AV,2089.000000,no,2090,2090
RAI_b1,24,pass,none,PAV,3104.000000,no,3105,3105
RAI_b1,3,act,none,APV,2120.000000,no,2121,2121
RAI_b1,4,act,A,PV,3305.000000,no,3306,3306
RAI_b1,5,pass,P,AV,1362.000000,no,1363,1363
RAI_b1,6,act,none,APV,2268.000000,no,2269,2269
RAI_b1,7,act,A,PV,2973.000000,no,2974,2974
RAI_b1,8,pass,P,AV,2250.000000,no,2251,2251
RAI_b1,9,act,none,APV,1468.000000,no,1469,1469
RAI_b2,1,pass,P,AV,1298.000000,no,1299,1299
RAI_b2,10,pass,P,AV,1537.000000,no,1538,1538
RAI_b2,12,act,A,APV,1896.000000,no,1897,1897
RAI_b2,13,pass,P,AV,1208.000000,no,1209,1209
RAI_b2,14,act,none,APV,2731.000000,no,2732,2732
RAI_b2,15,act,A,PV,2576.000000,no,2577,2577
RAI_b2,16,pass,P,AV,4318.000000,yes,3500,3500
RAI_b2,17,act,none,APV,2884.000000,no,2885,2885
RAI_b2,18,act,A,PV,4431.000000,yes,3500,3500
RAI_b2,19,pass,P,AV,2002.000000,no,2003,2003
RAI_b2,2,act,none,APV,2297.000000,no,2298,2298
RAI_b2,20,pass,none,PAV,3946.000000,yes,3500,3500
RAI_b2,22,pass,P,AV,1628.000000,no,1629,1629
RAI_b2,23,act,none,APV,2234.000000,no,2235,2235
RAI_b2,24,act,A,PV,1263.000000,no,1264,1264
RAI_b2,3,act,A,APV,2016.000000,no,2017,2017
RAI_b2,4,pass,P,APV,2117.000000,no,2118,2118
RAI_b2,5,act,none,APV,2178.000000,no,2179,2179
RAI_b2,6,act,A,PV,1586.000000,no,1587,1587
RAI_b2,7,pass,P,AV,3300.000000,no,3301,3301
RAI_b2,8,act,none,APV,1737.000000,no,1738,1738
RAI_b2,9,act,A,PV,1261.000000,no,1262,1262
REI_a2,1,pass,P,AV,3345.000000,no,3346,3346
REI_a2,10,pass,P,AV,2473.000000,no,2474,2474
REI_a2,11,act,none,APV,3228.000000,no,3229,3229
REI_a2,14,act,none,APV,2496.000000,no,2497,2497
REI_a2,15,act,A,PV,2721.000000,no,2722,2722
REI_a2,16,act,P,APV,4436.000000,yes,3500,3500
REI_a2,18,act,A,PV,6444.000000,yes,3500,3500
REI_a2,19,pass,P,AV,4562.000000,yes,3500,3500
REI_a2,2,act,none,APV,4821.000000,yes,3500,3500
REI_a2,20,act,none,APV,5841.000000,yes,3500,3500
REI_a2,23,act,none,APV,5617.000000,yes,3500,3500
REI_a2,24,act,A,PV,2415.000000,no,2416,2416
REI_a2,3,act,A,PV,2921.000000,no,2922,2922
REI_a2,5,act,none,APV,3980.000000,yes,3500,3500
REI_a2,6,act,A,PV,3649.000000,yes,3500,3500
REI_a2,7,act,P,P-APV,3216.000000,no,3217,3217
REI_a2,9,act,A,PV,3662.000000,yes,3500,3500
REI_b1,1,act,A,PV,3978.000000,yes,3500,3500
REI_b1,10,act,A,PV,2570.000000,no,2571,2571
REI_b1,14,pass,P,AV,3832.000000,yes,3500,3500
REI_b1,15,act,none,APV,2737.000000,no,2738,2738
REI_b1,16,act,A,PV,5009.000000,yes,3500,3500
REI_b1,18,act,none,APV,2767.000000,no,2768,2768
REI_b1,2,pass,P,AV,3122.000000,no,3123,3123
REI_b1,20,pass,P,AV,5551.000000,yes,3500,3500
REI_b1,23,pass,P,AV,3707.000000,yes,3500,3500
REI_b1,24,act,none,APV,5058.000000,yes,3500,3500
REI_b1,3,act,none,APV,1628.000000,no,1629,1629
REI_b1,4,act,A,PV,2975.000000,no,2976,2976
REI_b1,5,pass,P,AV,3118.000000,no,3119,3119
REI_b1,6,pass,none,PAV,5252.000000,yes,3500,3500
REI_b1,7,act,A,PV,2329.000000,no,2330,2330
