graph_id,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act_greater_than_mean,patient,4450,0.559429,0.489167,175,0.485473,0.633384
act_greater_than_mean,patient,4500,0.549714,0.485949,175,0.476246,0.623183
act_greater_than_mean,patient,4550,0.579543,0.487470,175,0.505844,0.653241
act_greater_than_mean,patient,4600,0.542743,0.484288,175,0.469525,0.615960
act_greater_than_mean,patient,4650,0.520800,0.485488,175,0.447401,0.594199
act_greater_than_mean,patient,4700,0.521600,0.492399,175,0.447156,0.596044
act_greater_than_mean,patient,4750,0.543657,0.492225,175,0.469240,0.618075
act_greater_than_mean,patient,4800,0.538057,0.492125,175,0.463655,0.612459
act_greater_than_mean,patient,4850,0.532571,0.489200,175,0.458611,0.606532
act_greater_than_mean,patient,4900,0.518514,0.488248,175,0.444698,0.592330
act_greater_than_mean,patient,4950,0.507314,0.481016,175,0.434592,0.580037
act_less_than_mean,agent,0,0.393222,0.477060,239,0.331505,0.454939
act_less_than_mean,agent,50,0.377238,0.475897,239,0.315672,0.438805
act_less_than_mean,agent,100,0.379247,0.479041,239,0.317274,0.441220
act_less_than_mean,agent,150,0.403933,0.466829,239,0.343540,0.464326
act_less_than_mean,agent,200,0.459498,0.453520,239,0.400826,0.518169
act_less_than_mean,agent,250,0.462510,0.482463,239,0.400095,0.524926
act_less_than_mean,agent,300,0.493975,0.481682,239,0.431660,0.556290
act_less_than_mean,agent,350,0.514059,0.481276,239,0.451796,0.576321
act_less_than_mean,agent,400,0.539414,0.481644,239,0.477104,0.601724
act_less_than_mean,agent,450,0.558577,0.484370,239,0.495915,0.621240
act_less_than_mean,agent,500,0.549874,0.486893,239,0.486885,0.612863
act_less_than_mean,agent,550,0.555481,0.484794,239,0.492764,0.618199
act_less_than_mean,agent,600,0.570962,0.483466,239,0.508417,0.633508
act_less_than_mean,agent,650,0.617155,0.471228,239,0.556192,0.678117
act_less_than_mean,agent,700,0.619414,0.475686,239,0.557875,0.680953
act_less_than_mean,agent,750,0.642510,0.465734,239,0.582259,0.702762
act_less_than_mean,agent,800,0.640084,0.473643,239,0.578809,0.701359
act_less_than_mean,agent,850,0.635565,0.461629,239,0.575844,0.695285
act_less_than_mean,agent,900,0.617824,0.468796,239,0.557176,0.678472
act_less_than_mean,agent,950,0.604184,0.471075,239,0.543241,0.665127
