ppt_id,item ,cond,rep,type,wo,sol,ppt.no
RLI__b3,12,P,ok,pass,PAV,2048,9
RLI__b3,13,none,ok,act,APV,2121,9
RLI__b3,14,A,ok,act,APV,1774,9
RLI__b3,15,P,ok,pass,PAV,1502,9
RLI__b3,16,none,ok,NA,NA,1755,9
RLI__b3,17,A,ok,act,APV,1442,9
RLI__b3,18,P,ok,pass,PAV,1433,9
RLI__b3,19,none,ok,act,APV,1712,9
RLI__b3,20,A,ok,act,APV,1596,9
RLI__b3,21,P,ok,pass,PAV,1720,9
RLI__b3,22,none,ok,act,APV,1516,9
RLI__b3,23,A,ok,act,APV,1753,9
RLI__b3,24,P,ok,pass,PAV,1715,9
RLI_a1,1,A,ok,act,APV,1812,9
RLI_a1,2,P,ok,act,APV,2081,9
RLI_a1,3,none,ok,act,APV,1644,9
RLI_a1,4,A,ok,act,APV,3342,9
RLI_a1,5,P,ok,pass,AV,2746,9
RLI_a1,6,none,ok,NA,NA,2380,9
RLI_a1,7,A,ok,act,APV,2958,9
RLI_a1,8,P,ok,act,APV,3886,9
RLI_a1,9,none,ok,act,APV,2878,9
RLI_a1,10,A,ok,act,APV,3387,9
RLI_a1,11,P,ok,act,APV,4407,9
RLI_a1,12,none,ok,NA,NA,7000,9
RLI_a1,13,A,ok,act,APV,2392,9
RLI_a1,14,P,ok,act,APV,2428,9
RLI_a1,15,none,ok,act,APV,2452,9
RLI_a1,16,A,ok,NA,NA,2086,9
RLI_a1,17,P,ok,NA,NA,2596,9
RLI_a1,18,none,ok,act,APV,2817,9
RLI_a1,19,A,ok,act,APV,2543,9
RLI_a1,20,P,ok,act,APV,2310,9
RLI_a1,21,none,ok,act,APV,3411,9
RLI_a1,22,A,ok,act,APV,3085,9
RLI_a1,23,P,ok,act,APV,2860,9
RLI_a1,24,none,ok,act,APV,2247,9
TVG_a3,1,none,ok,act,APV,2545,10
TVG_a3,2,A,ok,act,APV,1860,10
TVG_a3,3,P,ok,pass,PAV,3855,10
TVG_a3,4,none,ok,act,APV,1894,10
TVG_a3,5,A,ok,NA,NA,2598,10
TVG_a3,6,P,ok,pass,PAV,2102,10
TVG_a3,7,none,ok,act,APV,2915,10
TVG_a3,8,A,ok,act,APV,3131,10
TVG_a3,9,P,ok,pass,APV,2559,10
TVG_a3,10,none,ok,NA,NA,1872,10
TVG_a3,11,A,ok,act,APV,2322,10
TVG_a3,12,P,ok,NA,NA,2269,10
TVG_a3,13,none,ok,act,APV,1625,10
TVG_a3,14,A,ok,act,APV,2704,10
TVG_a3,15,P,ok,act,APV,2243,10
TVG_a3,16,none,ok,act,APV,1957,10
TVG_a3,17,A,ok,act,APV,1803,10
TVG_a3,18,P,ok,act,APV,1724,10
TVG_a3,19,none,ok,act,APV,3445,10
TVG_a3,20,A,ok,act,APV,2422,10
TVG_a3,21,P,ok,act,APV,2236,10
TVG_a3,22,none,ok,pass,PAV,2329,10
TVG_a3,23,A,ok,act,APV,3983,10
TVG_a3,24,P,ok,act,APV,2244,10
TVG_b1,1,A,ok,act,APV,2049,10
TVG_b1,2,P,ok,NA,NA,2561,10
TVG_b1,3,none,ok,act,APV,4039,10
TVG_b1,4,A,ok,act,AV,4309,10
TVG_b1,5,P,ok,pass,AV,1458,10
TVG_b1,6,none,ok,NA,NA,2134,10
TVG_b1,7,A,ok,act,APV,2174,10
TVG_b1,8,P,ok,act,APV,4059,10
TVG_b1,9,none,ok,act,APV,1790,10
TVG_b1,10,A,ok,act,APV,2664,10
TVG_b1,11,P,ok,act,APV,1649,10
TVG_b1,12,none,ok,NA,NA,2228,10
TVG_b1,13,A,ok,act,APV,1334,10
TVG_b1,14,P,ok,NA,NA,3493,10
TVG_b1,15,none,ok,NA,NA,2240,10
TVG_b1,16,A,ok,act,APV,2175,10
TVG_b1,17,P,ok,NA,NA,3522,10
TVG_b1,18,none,ok,act,APV,3747,10
TVG_b1,19,A,ok,act,APV,2135,10
TVG_b1,20,P,ok,act,APV,2936,10
TVG_b1,21,none,ok,NA,NA,4511,10
TVG_b1,22,A,ok,NA,NA,2701,10
TVG_b1,23,P,ok,act,APV,3765,10
TVG_b1,24,none,ok,act,APV,2152,10
SLT_a1,1,A,ok,NA,NA,2682,11
SLT_a1,2,P,ok,act,APV,9212,11
SLT_a1,3,none,ok,NA,NA,3474,11
SLT_a1,4,A,ok,NA,NA,4901,11
SLT_a1,5,P,-,NA,NA,4917,11
SLT_a1,6,none,ok,NA,NA,2881,11
SLT_a1,7,A,ok,NA,NA,4008,11
SLT_a1,8,P,-,NA,NA,3942,11
SLT_a1,9,none,ok,NA,NA,5133,11
SLT_a1,10,A,ok,pass,PVA,5331,11
SLT_a1,11,P,-,NA,NA,4535,11
SLT_a1,12,none,ok,NA,NA,6738,11
SLT_a1,13,A,-,NA,NA,3176,11
SLT_a1,14,P,ok,NA,NA,4235,11
SLT_a1,15,none,ok,NA,NA,4068,11
SLT_a1,16,A,ok,NA,NA,2813,11
SLT_a1,17,P,ok,NA,NA,3437,11
SLT_a1,18,none,ok,NA,NA,4618,11
SLT_a1,19,A,ok,NA,NA,5433,11
SLT_a1,20,P,ok,NA,NA,5082,11
SLT_a1,21,none,ok,NA,NA,2629,11
SLT_a1,22,A,ok,NA,NA,5421,11
SLT_a1,23,P,-,NA,NA,4961,11
SLT_a1,24,none,ok,NA,NA,3024,11
SLT_b2,1,P,ok,NA,NA,4884,11
SLT_b2,2,none,ok,NA,NA,12172,11
SLT_b2,3,A,ok,act,APV,4299,11
SLT_b2,4,P,-,NA,NA,7389,11
SLT_b2,5,none,ok,NA,NA,5785,11
SLT_b2,6,A,ok,NA,NA,5612,11
SLT_b2,7,P,ok,NA,NA,3776,11
SLT_b2,8,none,ok,NA,NA,2966,11
SLT_b2,9,A,-,NA,NA,3353,11
SLT_b2,10,P,-,NA,NA,6176,11
SLT_b2,11,none,-,NA,NA,7000,11
SLT_b2,12,A,ok,NA,NA,3934,11
SLT_b2,13,P,ok,NA,NA,5134,11
SLT_b2,14,none,ok,NA,NA,2988,11
SLT_b2,15,A,ok,NA,NA,5610,11
SLT_b2,16,P,ok,NA,NA,4491,11
SLT_b2,17,none,ok,NA,NA,3613,11
SLT_b2,18,A,ok,act,APV,6730,11
SLT_b2,19,P,ok,pass,PAV,7288,11
SLT_b2,20,none,ok,act,APV,3482,11
SLT_b2,21,A,ok,act,APV,5309,11
SLT_b2,22,P,ok,NA,NA,2297,11
SLT_b2,23,none,ok,NA,NA,4372,11
SLT_b2,24,A,ok,act,AVP,2776,11
ZAL_b3,1,none,ok,act,APV,1420,12
ZAL_b3,2,A,ok,NA,NA,2042,12
ZAL_b3,3,P,ok,pass,PAV,3027,12
ZAL_b3,4,none,ok,act,APV,2588,12
ZAL_b3,5,A,ok,act,APV,2249,12
ZAL_b3,6,P,ok,NA,NA,3147,12
ZAL_b3,7,none,ok,act,APV,2265,12
ZAL_b3,8,A,ok,act,APV,2921,12
ZAL_b3,9,P,ok,pass,APV,2353,12
ZAL_b3,10,none,ok,NA,NA,2332,12
ZAL_b3,11,A,ok,act,PV,1322,12
ZAL_b3,12,P,ok,NA,NA,1953,12
ZAL_b3,13,none,ok,act,APV,2190,12
ZAL_b3,14,A,ok,act,APV,2707,12
ZAL_b3,15,P,ok,act,APV,2961,12
ZAL_b3,16,none,ok,act,APV,2038,12
ZAL_b3,17,A,ok,act,APV,2020,12
ZAL_b3,18,P,ok,pass,APV,2427,12
ZAL_b3,19,none,ok,NA,NA,1592,12
ZAL_b3,20,A,ok,act,APV,2488,12
ZAL_b3,21,P,ok,pass,AV,2407,12
ZAL_b3,22,none,ok,NA,NA,2609,12
ZAL_b3,23,A,ok,NA,NA,2113,12
ZAL_b3,24,P,ok,pass,APV,2248,12
TPM_a1,1,A,ok,act,APV,2790,13
TPM_a1,2,P,ok,act,APV,3687,13
TPM_a1,3,none,ok,act,APV,2816,13
TPM_a1,4,A,ok,NA,NA,3347,13
TPM_a1,5,P,ok,pass,AV,2699,13
TPM_a1,6,none,ok,act,APV,2626,13
TPM_a1,7,A,ok,act,APV,2304,13
TPM_a1,8,P,ok,NA,NA,3185,13
TPM_a1,9,none,ok,act,APV,2857,13
TPM_a1,10,A,ok,act,PV,2542,13
TPM_a1,11,P,ok,NA,NA,2171,13
TPM_a1,12,none,ok,act,APV,3350,13
TPM_a1,13,A,ok,act,PV,1870,13
TPM_a1,14,P,ok,act,APV,2766,13
TPM_a1,15,none,ok,act,APV,2368,13
