participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
PRM,agent,600,0.444444,0.511310,18,0.203411,0.685478
PRM,agent,650,0.482222,0.501569,18,0.245780,0.718664
PRM,agent,700,0.456667,0.485956,18,0.227585,0.685748
PRM,agent,750,0.450000,0.483626,18,0.222017,0.677983
PRM,agent,800,0.485556,0.456112,18,0.270542,0.700569
PRM,agent,850,0.495556,0.510250,18,0.255021,0.736090
PRM,agent,900,0.474444,0.466063,18,0.254740,0.694148
PRM,agent,950,0.407778,0.492444,18,0.175638,0.639918
PRM,agent,1000,0.403333,0.493451,18,0.170718,0.635948
PRM,agent,1050,0.426667,0.496197,18,0.192757,0.660576
PRM,agent,1100,0.466667,0.499411,18,0.231242,0.702091
PRM,agent,1150,0.514444,0.503157,18,0.277254,0.751635
PRM,agent,1200,0.495556,0.490069,18,0.264535,0.726576
PRM,agent,1250,0.456667,0.502617,18,0.219731,0.693602
PRM,agent,1300,0.514444,0.503157,18,0.277254,0.751635
PRM,agent,1350,0.565556,0.500626,18,0.329558,0.801553
PRM,agent,1400,0.586667,0.481126,18,0.359862,0.813472
PRM,agent,1450,0.421111,0.463971,18,0.202393,0.639829
PRM,agent,1500,0.333333,0.485071,18,0.104669,0.561998
PRM,agent,1550,0.333333,0.485071,18,0.104669,0.561998
PRM,agent,1600,0.465556,0.470434,18,0.243791,0.687320
PRM,agent,1650,0.501111,0.461480,18,0.283568,0.718655
PRM,agent,1700,0.543333,0.501492,18,0.306928,0.779739
PRM,agent,1750,0.470000,0.492974,18,0.237610,0.702390
PRM,agent,1800,0.500000,0.514496,18,0.257464,0.742536
PRM,agent,1850,0.480000,0.500729,18,0.243954,0.716046
PRM,agent,1900,0.494444,0.509293,18,0.254362,0.734527
PRM,agent,1950,0.511111,0.505137,18,0.272987,0.749235
PRM,agent,2000,0.483333,0.471106,18,0.261252,0.705415
PRM,agent,2050,0.383333,0.480698,18,0.156730,0.609937
PRM,agent,2100,0.356667,0.478146,18,0.131267,0.582067
PRM,agent,2150,0.426667,0.477198,18,0.201714,0.651620
PRM,agent,2200,0.443333,0.507833,18,0.203939,0.682728
PRM,agent,2250,0.427778,0.494256,18,0.194783,0.660772
PRM,agent,2300,0.474444,0.499402,18,0.239024,0.709865
PRM,agent,2350,0.498889,0.513373,18,0.256883,0.740895
PRM,agent,2400,0.474444,0.491710,18,0.242650,0.706239
PRM,agent,2450,0.566667,0.481859,18,0.339516,0.793817
PRM,agent,2500,0.530000,0.499140,18,0.294703,0.765297
PRM,agent,2550,0.546667,0.504474,18,0.308855,0.784478
PRM,agent,2600,0.495556,0.491076,18,0.264060,0.727051
PRM,agent,2650,0.398889,0.495175,18,0.165461,0.632317
PRM,agent,2700,0.351111,0.477948,18,0.125804,0.576418
PRM,agent,2750,0.327778,0.477500,18,0.102682,0.552874
PRM,agent,2800,0.277778,0.460889,18,0.060513,0.495043
PRM,agent,2850,0.300000,0.456328,18,0.084885,0.515115
PRM,agent,2900,0.284444,0.457490,18,0.068782,0.500107
PRM,agent,2950,0.313333,0.449680,18,0.101352,0.525314
PRM,agent,3000,0.295556,0.455686,18,0.080743,0.510368
PRM,agent,3050,0.277778,0.460889,18,0.060513,0.495043
PRM,agent,3100,0.265556,0.439240,18,0.058496,0.472615
PRM,agent,3150,0.320000,0.468690,18,0.099057,0.540943
