participant,asc_file,block,trial_index,trial_num,image,rt_ms,n_fixations,pre_fixations,post_fixations,unknown_phase_fixations,agent_fixations,patient_fixations,other_fixations,sentence_type,word_order,fluency,trial_svg
K03,k03.asc,46,46,10,clean-1-2-l.png,1414,8,5,3,0,6,2,0,direct,AVP,yes,participant_trials/k03/b046_t46_clean-1-2-l.svg
K03,k03.asc,47,47,11,feed-2-2-r.png,2209,13,7,6,0,9,4,0,inverse,AVXVP,false start; russian,participant_trials/k03/b047_t47_feed-2-2-r.svg
K03,k03.asc,48,48,12,water-1-1-r.png,1435,9,5,4,0,9,0,0,direct,AVP,yes,participant_trials/k03/b048_t48_water-1-1-r.svg
K03,k03.asc,49,49,13,wake-1-2-l.png,2323,11,6,5,0,9,2,0,direct,AVP,yes,participant_trials/k03/b049_t49_wake-1-2-l.svg
K03,k03.asc,50,50,14,plant-2-1-l.png,1345,11,4,7,0,9,2,0,inverse,AVP,yes,participant_trials/k03/b050_t50_plant-2-1-l.svg
K03,k03.asc,51,51,15,makelaugh-1-1-r.png,2620,12,5,7,0,5,6,1,direct,AVP,yes,participant_trials/k03/b051_t51_makelaugh-1-1-r.svg
K03,k03.asc,52,52,16,boil-2-2-r.png,1963,13,7,6,0,7,6,0,inverse,AVP,false start,participant_trials/k03/b052_t52_boil-2-2-r.svg
K03,k03.asc,53,53,17,teach-2-1-l.png,1939,14,7,7,0,9,5,0,inverse,AVP,yes,participant_trials/k03/b053_t53_teach-2-1-l.svg
K03,k03.asc,54,54,18,hang-1-2-l.png,2254,9,6,3,0,7,1,1,direct,AVP,yes,participant_trials/k03/b054_t54_hang-1-2-l.svg
K03,k03.asc,55,55,19,dress-2-2-r.png,2171,13,6,7,0,9,4,0,inverse,AVP,false start,participant_trials/k03/b055_t55_dress-2-2-r.svg
K03,k03.asc,56,56,20,pull-1-1-r.png,1291,10,4,6,0,3,6,1,direct,AVP,yes,participant_trials/k03/b056_t56_pull-1-1-r.svg
K03,k03.asc,57,57,21,cut_hair-1-2-l.png,2002,11,5,6,0,6,4,1,direct,AVP,yes,participant_trials/k03/b057_t57_cut_hair-1-2-l.svg
K03,k03.asc,58,58,22,burn-2-1-l.png,2738,14,8,6,0,10,4,0,inverse,AVP,yes,participant_trials/k03/b058_t58_burn-2-1-l.svg
K03,k03.asc,59,59,23,wash-1-1-r.png,1637,12,5,7,0,4,8,0,direct,AVP,yes,participant_trials/k03/b059_t59_wash-1-1-r.svg
K03,k03.asc,60,60,24,saw-2-2-r.png,2382,12,7,5,0,8,4,0,inverse,AVP,yes,participant_trials/k03/b060_t60_saw-2-2-r.svg
K03,k03.asc,61,61,25,shoot-2-1-l.png,2566,12,6,6,0,11,1,0,inverse,AVP,yes,participant_trials/k03/b061_t61_shoot-2-1-l.svg
K03,k03.asc,62,62,26,open-1-2-l.png,2008,12,5,7,0,5,6,1,direct,AVP,yes,participant_trials/k03/b062_t62_open-1-2-l.svg
K03,k03.asc,63,63,27,treat-2-2-r.png,3587,17,11,6,0,11,6,0,inverse,AVP,yes,participant_trials/k03/b063_t63_treat-2-2-r.svg
K03,k03.asc,64,64,28,throw-1-1-r.png,1477,7,3,4,0,3,4,0,incorporation,AV,yes,participant_trials/k03/b064_t64_throw-1-1-r.svg
K03,k03.asc,65,65,29,scold-1-2-l.png,1900,9,3,6,0,7,2,0,direct,AVP,false start,participant_trials/k03/b065_t65_scold-1-2-l.svg
K03,k03.asc,68,67,30,cover-2-1-l.png,4612,20,14,6,0,19,1,0,inverse,AVP,yes,participant_trials/k03/b068_t67_cover-2-1-l.svg
K03,k03.asc,69,68,31,hit-1-1-r.png,1561,8,3,5,0,3,5,0,direct,AVP,yes,participant_trials/k03/b069_t68_hit-1-1-r.svg
K03,k03.asc,70,69,32,paint-2-2-r.png,1548,11,6,5,0,6,5,0,inverse,AVP,false start,participant_trials/k03/b070_t69_paint-2-2-r.svg
K03,k03_2.asc,4,4,1,call-2-2-r.png,3282,15,9,6,0,8,7,0,inverse,AVP,yes,participant_trials/k03_2/b004_t4_call-2-2-r.svg
K03,k03_2.asc,5,5,2,break-1-1-r.png,2134,12,6,6,0,2,10,0,direct,AVP,yes,participant_trials/k03_2/b005_t5_break-1-1-r.svg
K03,k03_2.asc,6,6,3,feed-2-1-l.png,2723,16,10,6,0,16,0,0,inverse,AVP,yes,participant_trials/k03_2/b006_t6_feed-2-1-l.svg
K03,k03_2.asc,7,7,4,eat-1-2-l.png,2901,12,6,6,0,3,9,0,direct,AVP,yes,participant_trials/k03_2/b007_t7_eat-1-2-l.svg
K03,k03_2.asc,8,8,5,wake-1-1-r.png,2248,12,7,5,0,9,3,0,direct,AVP,yes,participant_trials/k03_2/b008_t8_wake-1-1-r.svg
K03,k03_2.asc,9,9,6,pick-2-2-r.png,1787,15,7,8,0,9,2,4,inverse,AVP,yes,participant_trials/k03_2/b009_t9_pick-2-2-r.svg
K03,k03_2.asc,10,10,7,makelaugh-1-2-l.png,2917,14,9,5,0,10,4,0,direct,AVP,yes,participant_trials/k03_2/b010_t10_makelaugh-1-2-l.svg
K03,k03_2.asc,11,11,8,carry-2-1-l.png,2143,14,9,5,0,10,4,0,inverse,AVP,yes,participant_trials/k03_2/b011_t11_carry-2-1-l.svg
K03,k03_2.asc,12,12,9,teach-2-2-r.png,4072,18,12,6,0,12,6,0,inverse,AVP,yes,participant_trials/k03_2/b012_t12_teach-2-2-r.svg
K03,k03_2.asc,13,13,10,open-1-1-r.png,2141,14,9,5,0,9,5,0,direct,AVP,yes,participant_trials/k03_2/b013_t13_open-1-1-r.svg
K03,k03_2.asc,14,14,11,dress-2-1-l.png,2500,13,7,6,0,12,1,0,inverse,AVP,yes,participant_trials/k03_2/b014_t14_dress-2-1-l.svg
K03,k03_2.asc,15,15,12,throw-1-2-l.png,2196,11,5,6,0,5,6,0,incorporation,AV,yes,participant_trials/k03_2/b015_t15_throw-1-2-l.svg
K03,k03_2.asc,16,16,13,cut_hair-1-1-r.png,1832,10,5,5,0,6,4,0,direct,AVP,yes,participant_trials/k03_2/b016_t16_cut_hair-1-1-r.svg
K03,k03_2.asc,17,17,14,cover-2-2-r.png,3336,17,11,6,0,17,0,0,inverse,AVP,yes,participant_trials/k03_2/b017_t17_cover-2-2-r.svg
K03,k03_2.asc,18,18,15,wash-1-2-l.png,1913,11,5,6,0,7,3,1,direct,AVP,yes,participant_trials/k03_2/b018_t18_wash-1-2-l.svg
K03,k03_2.asc,19,19,16,paint-2-1-l.png,2036,13,7,6,0,11,1,1,direct; inverse,AVAVPXP,false start,participant_trials/k03_2/b019_t19_paint-2-1-l.svg
K03,k03_2.asc,20,20,17,give_water-2-2-r.png,3765,14,9,5,0,10,2,2,inverse,AVP,yes,participant_trials/k03_2/b020_t20_give_water-2-2-r.svg
K03,k03_2.asc,22,22,18,clean-1-1-r.png,2514,15,8,7,0,10,4,1,direct,AVP,yes,participant_trials/k03_2/b022_t22_clean-1-1-r.svg
K03,k03_2.asc,23,23,19,push-2-1-l.png,4749,18,14,4,0,4,14,0,direct,AXVP,yes,participant_trials/k03_2/b023_t23_push-2-1-l.svg
