time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent_sum,patient_sum,N,agent_patient_sum,person,time_rel,time_c,time_c2,time_c3
1,3,pass,P,AVP,9,1792,IEM_b3,0,50,50,50,3,0.08389261744966443,-0.4161073825503356,0.1731453538128913,-0.07204705997583398
1,3,pass,P,PAV,15,3484,IEM_b3,50,0,50,50,3,0.03467406380027739,-0.4653259361997226,0.21652822690014834,-0.10075619989597749
1,3,pass,P,PAV,18,3821,IEM_b3,0,50,50,50,3,0.03104625892579944,-0.46895374107420057,0.21991761126748835,-0.10313118653199042
1,3,pass,P,PAV,19,2749,IEM_a2,0,50,50,50,3,0.04653327128897161,-0.4534667287110284,0.20563207404788142,-0.09324730393655674
1,3,pass,P,PAV,20,2589,IEM_a1,0,50,50,50,3,0.05027652086475616,-0.44972347913524385,0.2022512076855081,-0.09095711677963148
1,3,pass,P,PAV,22,2716,IEM_a2,0,50,50,50,3,0.04725897920604915,-0.45274102079395084,0.20497443190954864,-0.09280033353938921
1,3,pass,P,PAV,24,2802,IEM_b3,50,0,50,50,3,0.045413260672116255,-0.45458673932788374,0.20664910357275731,-0.09393994217816988
1,3,pass,P,PVA,6,4730,IEM_b3,0,50,50,50,3,0.024213075060532687,-0.47578692493946734,0.22637319794335434,-0.10770540773818191
1,3,pass,none,PVA,17,3889,IEM_a2,0,50,50,50,3,0.030404378230465188,-0.4695956217695348,0.22052004798511599,-0.10355524904621818
1,4,pass,P,A-PAV,5,3747,IMI_b1,50,0,50,50,4,0.03177629488401652,-0.4682237051159835,0.21923343803253947,-0.102650292640911
1,4,pass,P,AV,1,1714,IMI_b2,50,0,50,50,4,0.08976660682226212,-0.4102333931777379,0.16829143687812048,-0.06903876719326846
1,4,pass,P,AV,10,2036,IMI_b2,50,0,50,50,4,0.06963788300835655,-0.43036211699164345,0.185211551741529,-0.07970803549879173
1,4,pass,P,AV,22,2684,IMI_b2,50,0,50,50,4,0.04798464491362764,-0.45201535508637236,0.2043178812338593,-0.09235481963641816
1,4,pass,P,PAV,2,2851,IMI_b1,50,0,50,50,4,0.0444247001332741,-0.4555752998667259,0.20754885384865723,-0.09455413132909729
1,4,pass,P,PAV,11,2423,IMI_b1,50,0,50,50,4,0.05485463521667581,-0.44514536478332417,0.19815439578807875,-0.0882075107965035
1,4,pass,P,PAV,14,1754,IMI_b1,50,0,50,50,4,0.08665511265164645,-0.41334488734835356,0.1708539958970231,-0.07062162568707107
1,4,pass,P,PAV,15,1897,IMI_a3,50,0,50,50,4,0.07710100231303008,-0.4228989976869699,0.1788435622446438,-0.07563276321602708
1,4,pass,P,PAV,17,2769,IMI_b1,50,0,50,50,4,0.046104195481788846,-0.45389580451821115,0.20602140135923416,-0.09351224971791887
1,4,pass,P,PAV,18,3564,IMI_a3,50,0,50,50,4,0.033738191632928474,-0.46626180836707154,0.21740007394173175,-0.1013653516152069
1,4,pass,P,PAV,19,5926,IMI_b2,50,0,50,50,4,0.01877581674802854,-0.48122418325197147,0.231576714546527,-0.1114403153178274
1,4,pass,P,PAV,20,1789,IMI_b1,0,50,50,50,4,0.08410428931875526,-0.41589571068124476,0.17296924216305765,-0.07193716589540118
1,4,pass,P,PAV,21,2059,IMI_a3,0,50,50,50,4,0.06854009595613433,-0.4314599040438657,0.1861576487975418,-0.08031956128721904
1,4,pass,P,PAV,23,2872,IMI_b1,50,0,50,50,4,0.04401408450704225,-0.45598591549295775,0.20792315512795082,-0.09481003024320292
