time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent.sum,pat.sum,N,person,sentence_type,active_voice,time_rel,time,log.agent,wts.agent
0,5,pass,P,AV,1,2085,KSM_b2,49,0,49,5,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,5,pass,P,AV,2,3888,KSM_a1,49,0,49,5,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,5,pass,P,AV,5,2915,KSM_a1,0,49,49,5,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,5,pass,P,AV,10,2704,KSM_b2,49,0,49,5,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,5,pass,none,AV,15,3718,KSM_a1,49,0,49,5,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,6,act,A,PV,1,1355,PRM_a1,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,A,PV,4,3868,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,A,PV,5,3166,PRM_b3,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,A,PV,7,2581,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,A,PV,10,3598,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,A,PV,13,1857,PRM_a1,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,A,PV,14,1902,PRM_b3,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,A,PV,17,1839,PRM_b3,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,A,PV,19,1900,PRM_a1,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,A,PV,20,1675,PRM_b3,0,16,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,A,PV,22,4418,PRM_a1,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,A,PV,23,1791,PRM_b3,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,APV,1,1773,PRM_b3,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,APV,4,1790,PRM_b3,22,27,49,6,act,1,0,0,-0.2006706954621511,0.0808080808080808
0,6,act,none,APV,6,1522,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,APV,7,1668,PRM_b3,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,APV,13,1680,PRM_b3,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,APV,15,2408,PRM_a1,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,none,APV,18,3503,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,APV,22,1605,PRM_b3,0,49,49,6,act,1,0,0,-4.59511985013459,2.0202020202020203
0,6,act,none,APV,24,1725,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,act,none,P-APV,19,1493,PRM_b3,41,8,49,6,act,1,0,0,1.5856272637403819,0.14174344436569808
0,6,act,none,PV,3,1125,PRM_a1,49,0,49,6,act,1,0,0,4.59511985013459,2.0202020202020203
0,6,pass,A,AV,2,1297,PRM_b3,0,49,49,6,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,6,pass,A,AV,8,1913,PRM_b3,0,49,49,6,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,6,pass,P,AV,2,2931,PRM_a1,49,0,49,6,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,6,pass,P,AV,3,1601,PRM_b3,49,0,49,6,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,6,pass,P,AV,5,1897,PRM_a1,0,49,49,6,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,6,pass,P,AV,6,2625,PRM_b3,0,49,49,6,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,6,pass,P,AV,9,1477,PRM_b3,0,49,49,6,pass,-1,0,0,-4.59511985013459,2.0202020202020203
