participant's id,list,number,trial_num,image,ans,agens,patiens,age,cond,agens_gender,patiens_gender,agens_num,patiens_num,patiens_animacy,practice,translation,transcription,reaction time,fluency,sentence type,word order,comments,
К07,1,11,8,carry-1-2-l.png,carry-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,f,n,1,2,0,0,Женщина несёт два ведра,Ведрот ку..кунын'нин... э... н'авыткатпиляк'а,3465,pause; false start,direct,AVP,,
К07,1,12,9,teach-1-1-r.png,teach-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,f,m,1,1,1,0,Женщина учит мужчину,ПРОПУСК,-,-,-,-,,
К07,1,13,10,open-2-2-r.png,open-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,m,n,1,1,0,0,Двое дедушек открывают две двери,Ынпыӄлавола.. дверь нэкун..нэкунв'эн'эньн'ын,4138,pause; false start,inverse,APV,,
К07,1,14,11,dress-1-2-l.png,dress-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,f,m,1,2,1,0,Бабушка одевает двух дедушек,э.. Эльг'ата пальтов'э гэлэ..гэлэлинэв'  к'айыкмин'а,7831,false start,past,APVX,девушки отнесли пальто мальчиков,
К07,1,15,12,throw-2-1-l.png,throw-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,m,n,2,1,0,0,Два мальчика бросают мяч,К'айыкмин'у.. куйи..куйичвэньн'и футбол,2603,false start,direct,AVP,,
К07,1,16,13,cut_hair-2-2-r.png,cut_hair-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,m,f,2,2,1,0,Два мальчика стригут двух девочек,ПРОПУСК,-,-,-,-,,
К07,1,17,14,cover-1-1-r.png,cover-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,f,n,1,1,0,0,Женщина накрывает один цветок,Эльг'апэляка цветок... ку..куполиваньн'ынэт,3035,pause; false start,direct,APV,,
К07,1,18,15,wash-2-1-l.png,wash-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,f,m,2,1,1,0,Две бабушки моют одного дедушку,Чачамйа на..нэкилгытэв'н'ын  ынпыӄлавол,3506,false start,inverse,AVP,,
К07,1,19,16,paint-1-2-l.png,paint-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",child,0,f,n,1,2,0,0,Девочка красит две доски,Н'авыткатпиль..н'авыткатпэляк'а  кукрасиньн'ынав'.. кукрасин'нынин  доскав',3054,false start,direct,AVVP,,
К07,1,20,17,give_water-1-1-r.png,give_water-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,m,f,1,1,1,0,Мужчина поит женщину,Н'а..н'авыткатпиль..н'авыткатпиль куникв'иченьн'ынин... г’уемтэв’илг’э,7297,pause; false start,direct,AVP,девочка поит человека,
К07,1,21,18,clean-2-2-r.png,clean-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,f,n,2,2,0,0,Две бабушки чистят два пальто,Эльг'ата накучистиньн'ынав' пальтов'э,6043,yes,inverse,AVP,,
К07,1,22,19,push-1-2-l.png,push-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",child,0,m,f,1,2,1,0,Мальчик толкает двух девочек,К'айыкмин'а навыткатпиляк'ыт кугынтэв'н'и,6743,pause,intransitive,APV,мальчик девочку убегает,
К07,1,23,20,water-2-1-l.png,water-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,m,n,2,1,0,0,Два мальчика поливают один цветок,ПРОПУСК,-,-,-,-,,
К07,1,24,21,pour-2-2-r.png,pour-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,m,f,2,2,1,0,Двое мужчин обливают двух женщин,ПРОПУСК,-,-,-,-,,
К07,1,25,22,plant-1-1-r.png,plant-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,f,n,1,1,0,0,Женщина сажает одно дерево,Эльг'ата дерево... а.. эльг'ата.. хм... эльгата кулгув'н'ынин.. э.. кулгув'н'ынин... уттыпиль,5962,pause; false start,direct,APAAVVP,,
К07,1,26,23,tie-2-1-l.png,tie-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,m,f,1,2,1,0,Два мальчика связывают девочку,К'айыкмин'а кукылтын'нин..  хм.. к'айык'мин'а веревката гакылтылин... хм... [нрзб] кукылтын'нин эльг'апель,3172,pause; false start,direct; past,AVAVXVVP,,
К07,1,27,24,boil-1-2-l.png,boil-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,f,n,1,2,0,0,Бабушка варит две курицы,Повара... эльг'ата кунититэв'н'ынинэт гыт..куриные гыткав'э,6119,pause; false start,direct,AAVP,,
К07,1,28,25,shoot-1-1-r.png,shoot-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,m,f,2,2,1,0,Мальчик стреляет в девочку,"К'айыкмин'ын..к'айыкмин'а кулк'эйн,эв'н'ынин...  навыткатпиль",2897,pause; false start,direct,AVP,,
К07,1,29,26,hang-2-2-r.png,hang-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,f,n,2,2,0,0,Две бабушки вешают две картины,Чачамйа... картинав' наконнёпаньн'ынав',4009,pause; false start,inverse,APV,,
К07,1,30,27,treat-1-2-l.png,treat-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,m,f,1,2,1,0,Мужчина лечит двух женщин ,ПРОПУСК,-,-,-,-,,
К07,1,31,28,pull-2-1-l.png,pull-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,m,n,2,1,0,0,Два мальчика везут санки,К'айыкмин'а.. уятикпиль нэкуг'аг'ан'ын,4323,pause,inverse,APV,,
К07,1,32,29,scold-2-2-r.png,scold-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,f,m,2,2,1,0,Две девочки ругают двух мальчиков,э...  накок.. эльг'апэляк'а накокытг'айн'ан'ын к'айыкмин'ыт,11188,false start,inverse,VAVP,,
К07,1,33,30,burn-1-1-r.png,burn-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,m,n,1,1,0,0,Дедушка сжигает книгу,Ынпыӄлавола кун'ылын'нин книган мэлгэтын',7917,pause,direct,AVPX,,
К07,1,34,31,hit-2-1-l.png,hit-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,f,m,2,1,1,0,Две девочки бьют мальчика,Эль... э... эльг'апэляк'а гапэннылэн к'айыкмин'ыт,5428,pause; false start,past,PVA,мальчик напал на девочек (неперех),
К07,1,35,32,saw-1-2-l.png,saw-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,m,n,1,2,0,0,Дедушка пилит два бревна,Ынпыӄлавол... утту кучвиткун.. кучвиткун'нин,2491,pause; false start,direct,APV,,
К07,1,36,1,give_water-2-1-l.png,give_water-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,f,m,2,1,1,0,Две женщины поят мужчину ,"так, переводить?.... а, по-корякски... Эльг'ата нэкуйылн'ынэв' эв'в'эче стакано г’оямтав’элг’ын'",21497,pause; false start,inverse,AVPP,,
К07,1,37,2,break-1-2-l.png,break-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",child,0,f,n,1,2,0,0,Девочка ломает два домика,Н'авыткатпиль куйичвэтын'.. г'атав' кунин'чыткун'нин игруш.. уйчвинэв'ну,4037,pause; false start,other,AVVVP,девочка играет... разбрасывает игрушки,
К07,1,38,3,push-2-2-r.png,push-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,f,m,2,2,1,0,Две девочки толкают двух мальчиков,Эльг'апэляк'ыт гапэннылэнат к'айыкмэн'ын',4087,yes,past,AVP,,
К07,1,39,4,eat-1-1-r.png,eat-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,m,n,2,1,0,0,Мужчина ест яблоко,Г’уемтэв’илг’ын гэгытг'эв'ли кугитэн'нин яблоко,3986,pause,direct,AXVP,"человек голодный, смотрит на яблоко",
К07,1,40,5,pour-1-2-l.png,pour-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,f,m,1,2,1,0,Женщина обливает двух мужчин,Эльг'ата килг'ытэв'н'ынин г’уемтэв’илг’ыт,4022,yes,direct,AVP,женщина моет мужчин,
К07,1,41,6,pick-2-1-l.png,pick-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,f,n,2,1,0,0,Две девочки срывают один цветок,"Н'авыткатпиляк'а нэкуг'итэгын'ын хм.. не могу вспомнить.. [вспоминает, как будет цветок]",3311,pause,inverse,AV,,
К07,1,42,7,tie-1-1-r.png,tie-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,f,m,1,1,1,0,Девочка связывает мальчика,Эльг'апэляк'а гакылтылин к'айыкмин'ын веревката,3904,yes,past,AVPX,,
К07,1,43,8,carry-2-2-r.png,carry-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,m,n,2,2,0,0,Двое мужчин несут два ведра,К'айыкмин'а.. к'айыкмин'а нэкимтин'ын н'ыччек' ведрот,4376,false start,inverse,AVP,,
К07,1,44,9,call-2-1-l.png,call-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,m,f,2,1,1,0,Двое дедушек зовут бабушку,э... Апапок..апапота нэкуг'эйн'эв'н'ын эльг'а,12299,false start,inverse,AVP,,
К07,1,45,10,clean-1-2-l.png,clean-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,m,n,2,2,0,0,Дедушка чистит два пальто,Апапота  кучистиньн'ынин н'ыччек' пальтот,5810,yes,direct,AVP,,
К07,1,46,11,feed-2-2-r.png,feed-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,f,m,2,2,1,0,Две бабушки кормят двух дедушек,Эльг'ата нэку..нэкуквайн'ынат.. э.. апапонтэ,4170,pause; false start,inverse,AVP,,
К07,1,47,12,water-1-1-r.png,water-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,f,n,1,1,0,0,Девочка поливает цветок,Н'авытк'атпиляк'а куполиваньн'ынин цветок,11316,pause,direct,AVP,,
К07,1,48,13,wake-1-2-l.png,wake-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,m,f,1,2,1,0,Мужчина будит двух женщин,Г’уемтэв’илг’ын... м... г’уемтэв’илг’ын куныкъев'н'ынин эльг'ат,6378,pause; false start,direct,AVP,,
К07,1,49,14,plant-2-1-l.png,plant-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,m,n,2,1,0,0,Двое мужчин сажают дерево,ПРОПУСК,-,-,-,-,,
К07,1,50,15,makelaugh-1-1-r.png,makelaugh-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,m,f,1,1,1,0,Дедушка смешит бабушку,"Эльг'атапэль качачгынчедын, апаппо ков'аняв'чедын'",22072,pause,other,AVAV,,
К07,1,51,16,boil-2-2-r.png,boil-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,f,n,2,2,0,0,Две женщины варят две курицы,Эльг'ата нэкутэйкын'ын обед,13318,yes,inverse,AVP,,
К07,1,52,17,teach-2-1-l.png,teach-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,m,f,2,1,1,0,Двое мужчин учат одну женщину,ПРОПУСК,-,-,-,-,,
К07,1,53,18,hang-1-2-l.png,hang-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,m,n,1,2,0,0,Дедушка вешает две картины,Ынпыӄлавола картина  коннёпаньн'ынэн... на стене,4864,pause,direct,APVX,,
К07,1,54,19,dress-2-2-r.png,dress-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,m,f,2,2,1,0,Два дедушки одевают двух бабушек,Эльг'ата.. мин'кые-аму ку.. пальто накойпын'нэв' кыг'эк'эв'н'и,8540,pause; false start,other,AXPVV,девушка куда-то пальто вешает; (они) отправляются,
К07,1,55,20,pull-1-1-r.png,pull-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,f,n,1,1,0,0,Девочка везёт санки,Навакык г'эк'эв'и ялеконвын',6523,yes,intransitive,AVV,пошла кататься,
К07,1,56,21,cut_hair-1-2-l.png,cut_hair-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",child,0,f,m,1,2,1,0,Девочка стрижет двух мальчиков,ПРОПУСК,-,-,-,-,,
К07,1,57,22,burn-2-1-l.png,burn-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,f,n,2,1,0,0,Две бабушки сжигают книгу,"Чачамйа.. утту нэкуччилн,ынэв' милгык",3140,pause,inverse,APVX,деревья сжигают на костре,
